Protein,datatype,MTFE,Rs,Sd,Frame,Sequence,length,kappa,FCR,NCPR,Hydrophobicity,Expanding,delta
puma_scramble_98,ee,-3.0,2.128603125322258,0.4856792603653412,16152.0,,,,,,,,
puma_scramble_98,ee,-2.0,2.275716487511362,0.5984066964691254,16824.0,,,,,,,,
puma_scramble_98,ee,-1.0,4.285968109634069,0.1407603764582445,33648.0,,,,,,,,
puma_scramble_98,ee,0.0,4.65566014004424,0.0277700792746408,33648.0,,,,,,,,
puma_scramble_98,ee,1.0,4.903891404370609,0.0295038160691631,33648.0,,,,,,,,
puma_scramble_98,ee,2.0,5.107959213341125,0.023631590690179,16830.0,,,,,,,,
puma_scramble_98,ee,3.0,5.251357487349271,0.0254414885198428,16824.0,,,,,,,,
puma_scramble_31,ee,-3.0,1.3671794649373208,0.2301818793850771,16800.0,,,,,,,,
puma_scramble_31,ee,-2.0,1.6092360807015074,0.2295859300494784,16800.0,,,,,,,,
puma_scramble_31,ee,-1.0,2.6421360796051365,0.3680966570421207,16800.0,,,,,,,,
puma_scramble_31,ee,0.0,3.317922471162109,0.1025600239607205,16800.0,,,,,,,,
puma_scramble_31,ee,1.0,3.710867139148925,0.0130672041390698,16800.0,,,,,,,,
puma_scramble_31,ee,2.0,3.934505735174531,0.0380758404324357,16800.0,,,,,,,,
puma_scramble_31,ee,3.0,4.093079387659119,0.0302489918446327,16800.0,,,,,,,,
puma_scramble_41,ee,-3.0,1.0226285196556932,0.3107600625206839,16800.0,,,,,,,,
puma_scramble_41,ee,-2.0,1.8957885589255463,0.0593932347912353,16800.0,,,,,,,,
puma_scramble_41,ee,-1.0,2.7479300066349763,0.2113868074800653,16800.0,,,,,,,,
puma_scramble_41,ee,0.0,3.5361821887677625,0.0492667397797086,16800.0,,,,,,,,
puma_scramble_41,ee,1.0,3.944153565218052,0.0252080734923351,16800.0,,,,,,,,
puma_scramble_41,ee,2.0,4.275163833660384,0.0124257353918093,16800.0,,,,,,,,
puma_scramble_41,ee,3.0,4.490743820622918,0.0228054120766097,16800.0,,,,,,,,
puma_scramble_23,ee,-3.0,1.3394470151549294,0.150134940831129,16800.0,,,,,,,,
puma_scramble_23,ee,-2.0,1.6275293194396154,0.2587929454579126,16800.0,,,,,,,,
puma_scramble_23,ee,-1.0,2.6018259863786044,0.4737913089577628,16800.0,,,,,,,,
puma_scramble_23,ee,0.0,3.881905694971127,0.0638200650128892,16800.0,,,,,,,,
puma_scramble_23,ee,1.0,4.215389607979783,0.0306697826605039,16800.0,,,,,,,,
puma_scramble_23,ee,2.0,4.463845179531546,0.0154755939607616,16800.0,,,,,,,,
puma_scramble_23,ee,3.0,4.601823238819128,0.0438697449369254,16800.0,,,,,,,,
puma_scramble_57,ee,-3.0,1.2056919262404338,0.2297390315572854,16636.0,,,,,,,,
puma_scramble_57,ee,-2.0,1.1056543634458025,0.061467998239493,16807.0,,,,,,,,
puma_scramble_57,ee,-1.0,2.3080481458517323,0.8147193933274429,16824.0,,,,,,,,
